seed,symbol,days,survival,max_dd_pct,final_pnl,trades,avg_slippage_bps,regime_flips,breach_reason
895010338,GLD,252,True,8.22,7827.02,1,24.2,1,
1449290118,GLD,252,True,6.87,4312.27,1,24.7,1,
1026931145,GLD,252,True,1.49,2026.01,1,23.9,1,
858862571,GLD,252,True,6.74,4386.38,1,24.2,1,
420572061,GLD,252,True,2.63,3975.39,1,24.4,1,
1426904198,GLD,252,True,4.33,-923.94,1,24.6,1,
1736839149,GLD,252,True,2.48,3605.60,1,23.6,1,
378760724,GLD,252,True,4.63,12637.73,1,25.0,1,
1875918658,GLD,252,True,6.21,-1097.63,1,23.6,1,
604047871,GLD,252,True,7.88,751.52,1,24.2,1,
1689073994,GLD,252,True,6.67,-1814.16,1,25.0,1,
1562202694,GLD,252,True,5.08,10434.90,1,23.5,1,
46924004,GLD,252,True,4.44,-1601.43,1,24.0,1,
1111878806,GLD,252,True,10.66,-7473.11,1,23.1,1,
1489742833,GLD,252,True,13.82,-5585.61,1,24.7,1,
1762798833,GLD,252,True,7.14,-1500.42,1,23.8,1,
2073029529,GLD,252,True,4.75,-2407.25,1,23.8,1,
145782565,GLD,252,True,3.03,799.95,1,23.6,1,
575787740,GLD,252,True,5.50,-1222.27,1,23.0,1,
1291716361,GLD,252,True,4.47,3301.65,1,23.2,1,
270248185,GLD,252,True,4.44,-4436.46,1,23.7,1,
1486747360,GLD,252,True,6.78,-2031.34,1,23.7,1,
1023031314,GLD,252,True,5.13,3518.82,1,24.6,1,
2122632165,GLD,252,True,8.51,1497.32,1,25.1,1,
1230994746,GLD,252,True,7.53,-512.01,1,23.0,1,
934054562,GLD,252,True,2.83,5186.16,1,23.5,1,
993137601,GLD,252,True,5.81,-547.71,1,24.3,1,
1573877877,GLD,252,True,9.12,-8592.23,1,23.6,1,
1975336495,GLD,252,True,7.55,-3706.54,1,23.9,1,
519966317,GLD,252,True,9.87,-7406.23,1,24.9,1,
444395791,GLD,252,True,6.81,-3459.79,1,23.2,1,
1356305437,GLD,252,True,2.10,11040.24,1,25.0,1,
721706239,GLD,252,True,3.62,532.10,1,24.0,1,
1658603996,GLD,252,True,2.98,6234.21,1,24.0,1,
1771006840,GLD,252,True,3.29,-79.21,1,24.9,1,
1473229436,GLD,252,True,2.17,5863.89,1,23.0,1,
115291853,GLD,252,True,9.73,-7204.45,1,23.2,1,
1917061891,GLD,252,True,4.54,2467.14,1,23.7,1,
1767037723,GLD,252,True,7.83,-4422.12,1,23.7,1,
761259293,GLD,252,True,4.98,4252.74,1,23.4,1,
705150252,GLD,252,True,3.35,3577.94,1,24.5,1,
1771992646,GLD,252,True,2.97,6299.96,1,25.2,1,
184094389,GLD,252,True,3.79,1941.97,1,22.5,1,
296346821,GLD,252,True,10.32,628.01,1,24.1,1,
584925608,GLD,252,True,6.57,5120.01,1,24.7,1,
107585205,GLD,252,True,3.25,655.55,1,23.3,1,
2093295733,GLD,252,True,4.33,398.84,1,23.6,1,
2019143063,GLD,252,True,4.54,1891.61,1,24.9,1,
1238862639,GLD,252,True,8.30,2948.57,1,25.0,1,
1770257061,GLD,252,True,8.65,-4698.73,1,22.9,1,
569934662,GLD,252,True,5.29,-3895.01,1,24.1,1,
672387442,GLD,252,True,2.38,2330.68,1,23.1,1,
1855981432,GLD,252,True,5.33,4977.81,1,23.9,1,
1130710160,GLD,252,True,4.99,-810.87,1,23.9,1,
1262225585,GLD,252,True,7.17,-6430.47,1,24.5,1,
819699057,GLD,252,True,3.74,1021.92,1,23.9,1,
2118390373,GLD,252,True,7.83,-1349.21,1,23.9,1,
15968456,GLD,252,True,2.12,1711.91,1,24.3,1,
457747024,GLD,252,True,5.52,2038.32,1,24.6,1,
697711530,GLD,252,True,3.89,-1513.74,1,23.0,1,
584271472,GLD,252,True,7.46,976.47,1,24.2,1,
1716120199,GLD,252,True,3.97,2789.29,1,23.8,1,
736477630,GLD,252,True,5.77,3630.87,1,22.4,1,
1493016817,GLD,252,True,6.19,-673.47,1,23.1,1,
1290023992,GLD,252,True,6.04,2494.04,1,24.6,1,
687137775,GLD,252,True,5.05,-3015.91,1,23.3,1,
2054921094,GLD,252,True,4.80,10390.36,1,24.3,1,
78737374,GLD,252,True,6.73,-3074.57,1,24.1,1,
407095165,GLD,252,True,7.48,-2467.74,1,24.7,1,
1371614331,GLD,252,True,4.22,-2149.02,1,23.8,1,
136347807,GLD,252,True,3.78,-841.38,1,24.3,1,
1534210340,GLD,252,True,2.51,-743.72,1,23.0,1,
1093477075,GLD,252,True,2.82,535.49,1,24.3,1,
1061905672,GLD,252,True,3.28,6835.95,1,25.7,1,
945115866,GLD,252,True,4.00,4406.75,1,25.0,1,
552070088,GLD,252,True,5.17,-819.16,1,24.6,1,
491929687,GLD,252,True,6.71,8895.94,1,23.8,1,
1685190371,GLD,252,True,8.01,2240.98,1,23.2,1,
243086221,TLT,252,True,8.94,-5932.10,1,24.2,1,
18978897,TLT,252,True,4.16,11066.04,1,23.2,1,
959893727,TLT,252,True,5.71,-2852.89,1,23.6,1,
443358785,TLT,252,True,5.46,-2091.16,1,23.9,1,
1891797850,TLT,252,True,8.16,2302.28,1,23.3,1,
2006864235,TLT,252,True,9.92,1668.01,1,24.5,1,
422688635,TLT,252,True,5.25,-2261.17,1,24.3,1,
271365314,TLT,252,True,3.78,496.89,1,24.2,1,
1680329135,TLT,252,True,3.58,1446.39,1,23.9,1,
1015668582,TLT,252,True,12.74,-10836.34,1,23.2,1,
1112143665,TLT,252,True,3.39,6645.16,1,23.9,1,
